athleteid,lastname,firstname,birthdate,gender,name,code,eventid,heat,lane,points,reactiontime,swimtime,split,cumswimtime,splitdistance,daytime,round,distance,relaycount,stroke,splitswimtime
244500,FEO MATO,PABLO,01/01/1995,M,ANDORRA,AND,34,2,3,542,0.7,29.47,1,29.47,50,1018,PRE,50,1,BACK,29.47
244508,RAMIREZ ABELLA,MONICA,01/01/1993,F,ANDORRA,AND,22,3,1,622,0.71,60.98,1,29.24,50,1000,PRE,100,1,FREE,29.24
244508,RAMIREZ ABELLA,MONICA,01/01/1993,F,ANDORRA,AND,22,3,1,622,0.71,60.98,2,60.98,100,1000,PRE,100,1,FREE,31.74
244508,RAMIREZ ABELLA,MONICA,01/01/1993,F,ANDORRA,AND,33,4,2,586,0.7,28.35,1,28.35,50,1000,PRE,50,1,FREE,28.35
244820,ARIAS DOURDET,POL,01/01/1996,M,ANDORRA,AND,12,1,3,607,0.66,120.44,1,28.09,50,1047,PRE,200,1,FREE,28.09
244820,ARIAS DOURDET,POL,01/01/1996,M,ANDORRA,AND,12,1,3,607,0.66,120.44,2,58.51,100,1047,PRE,200,1,FREE,30.42
244820,ARIAS DOURDET,POL,01/01/1996,M,ANDORRA,AND,12,1,3,607,0.66,120.44,3,89.27,150,1047,PRE,200,1,FREE,30.76
244820,ARIAS DOURDET,POL,01/01/1996,M,ANDORRA,AND,12,1,3,607,0.66,120.44,4,120.44,200,1047,PRE,200,1,FREE,31.17
42,ROLA,NUNO MIGUEL,01/01/1983,M,ANGOLA,ANG,16,1,3,,,,1,,50,1038,PRE,200,1,FLY,
42,ROLA,NUNO MIGUEL,01/01/1983,M,ANGOLA,ANG,29,1,5,,,,1,,50,1039,PRE,100,1,FLY,
243619,PINOTES,PEDRO,01/01/1989,M,ANGOLA,ANG,21,1,3,763,0.63,124.85,1,27.28,50,1051,PRE,200,1,MEDLEY,27.28
243619,PINOTES,PEDRO,01/01/1989,M,ANGOLA,ANG,21,1,3,763,0.63,124.85,2,59.95,100,1051,PRE,200,1,MEDLEY,32.67
243619,PINOTES,PEDRO,01/01/1989,M,ANGOLA,ANG,21,1,3,763,0.63,124.85,3,95.92,150,1051,PRE,200,1,MEDLEY,35.97
243619,PINOTES,PEDRO,01/01/1989,M,ANGOLA,ANG,21,1,3,763,0.63,124.85,4,124.85,200,1051,PRE,200,1,MEDLEY,28.93
243619,PINOTES,PEDRO,01/01/1989,M,ANGOLA,ANG,37,4,9,793,0.64,263.36,1,28.16,50,1000,PRE,400,1,MEDLEY,28.16
243619,PINOTES,PEDRO,01/01/1989,M,ANGOLA,ANG,37,4,9,793,0.64,263.36,2,59.5,100,1000,PRE,400,1,MEDLEY,31.34
243619,PINOTES,PEDRO,01/01/1989,M,ANGOLA,ANG,37,4,9,793,0.64,263.36,3,94.71,150,1000,PRE,400,1,MEDLEY,35.21
243619,PINOTES,PEDRO,01/01/1989,M,ANGOLA,ANG,37,4,9,793,0.64,263.36,4,128.57,200,1000,PRE,400,1,MEDLEY,33.86
243619,PINOTES,PEDRO,01/01/1989,M,ANGOLA,ANG,37,4,9,793,0.64,263.36,5,166.45,250,1000,PRE,400,1,MEDLEY,37.88
243619,PINOTES,PEDRO,01/01/1989,M,ANGOLA,ANG,37,4,9,793,0.64,263.36,6,203.38,300,1000,PRE,400,1,MEDLEY,36.93
243619,PINOTES,PEDRO,01/01/1989,M,ANGOLA,ANG,37,4,9,793,0.64,263.36,7,234.79,350,1000,PRE,400,1,MEDLEY,31.41
243619,PINOTES,PEDRO,01/01/1989,M,ANGOLA,ANG,37,4,9,793,0.64,263.36,8,263.36,400,1000,PRE,400,1,MEDLEY,28.57
243685,LIMA,YARA,01/01/1995,F,ANGOLA,ANG,15,1,3,573,0.72,136.01,1,30.38,50,1019,PRE,200,1,FREE,30.38
243685,LIMA,YARA,01/01/1995,F,ANGOLA,ANG,15,1,3,573,0.72,136.01,2,64.27,100,1019,PRE,200,1,FREE,33.89
243685,LIMA,YARA,01/01/1995,F,ANGOLA,ANG,15,1,3,573,0.72,136.01,3,99.47,150,1019,PRE,200,1,FREE,35.2
243685,LIMA,YARA,01/01/1995,F,ANGOLA,ANG,15,1,3,573,0.72,136.01,4,136.01,200,1019,PRE,200,1,FREE,36.54
243685,LIMA,YARA,01/01/1995,F,ANGOLA,ANG,33,3,9,565,0.68,28.69,1,28.69,50,1000,PRE,50,1,FREE,28.69
243692,NOBREGA,ANA,01/01/1990,F,ANGOLA,ANG,1,2,1,597,0.74,66.55,1,30.04,50,1000,PRE,100,1,FLY,30.04
243692,NOBREGA,ANA,01/01/1990,F,ANGOLA,ANG,1,2,1,597,0.74,66.55,2,66.55,100,1000,PRE,100,1,FLY,36.51
243692,NOBREGA,ANA,01/01/1990,F,ANGOLA,ANG,22,3,8,648,0.72,60.15,1,28.96,50,1000,PRE,100,1,FREE,28.96
243692,NOBREGA,ANA,01/01/1990,F,ANGOLA,ANG,22,3,8,648,0.72,60.15,2,60.15,100,1000,PRE,100,1,FREE,31.19
48,MASCOLL-GOMES,NOAH,01/01/1999,M,ANTIGUA & BARBUDA,ANT,4,2,4,476,0.65,28.71,1,28.71,50,1105,PRE,50,1,FLY,28.71
48,MASCOLL-GOMES,NOAH,01/01/1999,M,ANTIGUA & BARBUDA,ANT,19,2,2,576,0.62,56.36,1,27.36,50,1013,PRE,100,1,FREE,27.36
48,MASCOLL-GOMES,NOAH,01/01/1999,M,ANTIGUA & BARBUDA,ANT,19,2,2,576,0.62,56.36,2,56.36,100,1013,PRE,100,1,FREE,29
51,WALL,RACHEL,01/01/1998,F,ANTIGUA & BARBUDA,ANT,22,2,2,440,0.74,68.43,1,31.81,50,1000,PRE,100,1,FREE,31.81
51,WALL,RACHEL,01/01/1998,F,ANTIGUA & BARBUDA,ANT,22,2,2,440,0.74,68.43,2,68.43,100,1000,PRE,100,1,FREE,36.62
51,WALL,RACHEL,01/01/1998,F,ANTIGUA & BARBUDA,ANT,33,2,7,488,0.68,30.14,1,30.14,50,1000,PRE,50,1,FREE,30.14
52,SMITH,J'AIR,01/01/1996,M,ANTIGUA & BARBUDA,ANT,6,2,7,482,0.7,74.7,1,34.34,50,1147,PRE,100,1,BREAST,34.34
52,SMITH,J'AIR,01/01/1996,M,ANTIGUA & BARBUDA,ANT,6,2,7,482,0.7,74.7,2,74.7,100,1147,PRE,100,1,BREAST,40.36
52,SMITH,J'AIR,01/01/1996,M,ANTIGUA & BARBUDA,ANT,27,3,5,520,0.73,26.04,1,26.04,50,1000,PRE,50,1,FREE,26.04
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,2,4,0,781,0.7,238.92,1,27.43,50,1016,PRE,400,1,FREE,27.43
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,2,4,0,781,0.7,238.92,2,57.34,100,1016,PRE,400,1,FREE,29.91
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,2,4,0,781,0.7,238.92,3,87.33,150,1016,PRE,400,1,FREE,29.99
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,2,4,0,781,0.7,238.92,4,118.03,200,1016,PRE,400,1,FREE,30.7
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,2,4,0,781,0.7,238.92,5,148.38,250,1016,PRE,400,1,FREE,30.35
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,2,4,0,781,0.7,238.92,6,179.16,300,1016,PRE,400,1,FREE,30.78
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,2,4,0,781,0.7,238.92,7,209.57,350,1016,PRE,400,1,FREE,30.41
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,2,4,0,781,0.7,238.92,8,238.92,400,1016,PRE,400,1,FREE,29.35
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,17,2,2,737,0.73,500.53,1,28.33,50,1054,PRE,800,1,FREE,28.33
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,17,2,2,737,0.73,500.53,2,59.4,100,1054,PRE,800,1,FREE,31.07
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,17,2,2,737,0.73,500.53,3,90.53,150,1054,PRE,800,1,FREE,31.13
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,17,2,2,737,0.73,500.53,4,122.07,200,1054,PRE,800,1,FREE,31.54
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,17,2,2,737,0.73,500.53,5,153.12,250,1054,PRE,800,1,FREE,31.05
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,17,2,2,737,0.73,500.53,6,184.7,300,1054,PRE,800,1,FREE,31.58
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,17,2,2,737,0.73,500.53,7,216.63,350,1054,PRE,800,1,FREE,31.93
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,17,2,2,737,0.73,500.53,8,248.46,400,1054,PRE,800,1,FREE,31.83
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,17,2,2,737,0.73,500.53,9,279.8,450,1054,PRE,800,1,FREE,31.34
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,17,2,2,737,0.73,500.53,10,311.38,500,1054,PRE,800,1,FREE,31.58
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,17,2,2,737,0.73,500.53,11,343.39,550,1054,PRE,800,1,FREE,32.01
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,17,2,2,737,0.73,500.53,12,375.56,600,1054,PRE,800,1,FREE,32.17
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,17,2,2,737,0.73,500.53,13,407.56,650,1054,PRE,800,1,FREE,32
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,17,2,2,737,0.73,500.53,14,439.17,700,1054,PRE,800,1,FREE,31.61
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,17,2,2,737,0.73,500.53,15,470.57,750,1054,PRE,800,1,FREE,31.4
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,17,2,2,737,0.73,500.53,16,500.53,800,1054,PRE,800,1,FREE,29.96
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,36,2,7,765,0.73,956.17,1,29.07,50,1049,PRE,1500,1,FREE,29.07
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,36,2,7,765,0.73,956.17,2,59.9,100,1049,PRE,1500,1,FREE,30.83
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,36,2,7,765,0.73,956.17,3,91.34,150,1049,PRE,1500,1,FREE,31.44
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,36,2,7,765,0.73,956.17,4,122.61,200,1049,PRE,1500,1,FREE,31.27
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,36,2,7,765,0.73,956.17,5,154.24,250,1049,PRE,1500,1,FREE,31.63
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,36,2,7,765,0.73,956.17,6,186.07,300,1049,PRE,1500,1,FREE,31.83
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,36,2,7,765,0.73,956.17,7,218.41,350,1049,PRE,1500,1,FREE,32.34
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,36,2,7,765,0.73,956.17,8,250.45,400,1049,PRE,1500,1,FREE,32.04
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,36,2,7,765,0.73,956.17,9,282.82,450,1049,PRE,1500,1,FREE,32.37
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,36,2,7,765,0.73,956.17,10,315.14,500,1049,PRE,1500,1,FREE,32.32
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,36,2,7,765,0.73,956.17,11,347.06,550,1049,PRE,1500,1,FREE,31.92
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,36,2,7,765,0.73,956.17,12,378.97,600,1049,PRE,1500,1,FREE,31.91
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,36,2,7,765,0.73,956.17,13,411.27,650,1049,PRE,1500,1,FREE,32.3
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,36,2,7,765,0.73,956.17,14,443.38,700,1049,PRE,1500,1,FREE,32.11
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,36,2,7,765,0.73,956.17,15,475.34,750,1049,PRE,1500,1,FREE,31.96
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,36,2,7,765,0.73,956.17,16,507.14,800,1049,PRE,1500,1,FREE,31.8
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,36,2,7,765,0.73,956.17,17,539.14,850,1049,PRE,1500,1,FREE,32
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,36,2,7,765,0.73,956.17,18,570.86,900,1049,PRE,1500,1,FREE,31.72
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,36,2,7,765,0.73,956.17,19,602.93,950,1049,PRE,1500,1,FREE,32.07
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,36,2,7,765,0.73,956.17,20,635.46,1000,1049,PRE,1500,1,FREE,32.53
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,36,2,7,765,0.73,956.17,21,667.45,1050,1049,PRE,1500,1,FREE,31.99
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,36,2,7,765,0.73,956.17,22,699.76,1100,1049,PRE,1500,1,FREE,32.31
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,36,2,7,765,0.73,956.17,23,731.92,1150,1049,PRE,1500,1,FREE,32.16
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,36,2,7,765,0.73,956.17,24,764.18,1200,1049,PRE,1500,1,FREE,32.26
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,36,2,7,765,0.73,956.17,25,796.41,1250,1049,PRE,1500,1,FREE,32.23
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,36,2,7,765,0.73,956.17,26,828.74,1300,1049,PRE,1500,1,FREE,32.33
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,36,2,7,765,0.73,956.17,27,860.87,1350,1049,PRE,1500,1,FREE,32.13
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,36,2,7,765,0.73,956.17,28,893.61,1400,1049,PRE,1500,1,FREE,32.74
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,36,2,7,765,0.73,956.17,29,925.6,1450,1049,PRE,1500,1,FREE,31.99
247671,NAIDICH,MARTIN,01/01/1990,M,ARGENTINA,ARG,36,2,7,765,0.73,956.17,30,956.17,1500,1049,PRE,1500,1,FREE,30.57
247672,GRABICH,FEDERICO,01/01/1990,M,ARGENTINA,ARG,10,5,9,840,0.6,55.03,1,26.41,50,1014,PRE,100,1,BACK,26.41
247672,GRABICH,FEDERICO,01/01/1990,M,ARGENTINA,ARG,10,5,9,840,0.6,55.03,2,55.03,100,1014,PRE,100,1,BACK,28.62
247672,GRABICH,FEDERICO,01/01/1990,M,ARGENTINA,ARG,19,6,3,832,0.64,49.87,1,23.58,50,1013,PRE,100,1,FREE,23.58
247672,GRABICH,FEDERICO,01/01/1990,M,ARGENTINA,ARG,19,6,3,832,0.64,49.87,2,49.87,100,1013,PRE,100,1,FREE,26.29
247672,GRABICH,FEDERICO,01/01/1990,M,ARGENTINA,ARG,27,8,1,754,0.62,23,1,23,50,1000,PRE,50,1,FREE,23
247672,GRABICH,FEDERICO,01/01/1990,M,ARGENTINA,ARG,34,6,1,843,0.54,25.44,1,25.44,50,1018,PRE,50,1,BACK,25.44
247672,GRABICH,FEDERICO,01/01/1990,M,ARGENTINA,ARG,234,2,8,872,0.57,25.16,1,25.16,50,1915,SEM,50,1,BACK,25.16
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,13,2,1,818,0.87,1007.59,1,30.09,50,1112,PRE,1500,1,FREE,30.09
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,13,2,1,818,0.87,1007.59,2,63.14,100,1112,PRE,1500,1,FREE,33.05
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,13,2,1,818,0.87,1007.59,3,95.54,150,1112,PRE,1500,1,FREE,32.4
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,13,2,1,818,0.87,1007.59,4,128.88,200,1112,PRE,1500,1,FREE,33.34
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,13,2,1,818,0.87,1007.59,5,161.54,250,1112,PRE,1500,1,FREE,32.66
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,13,2,1,818,0.87,1007.59,6,194.82,300,1112,PRE,1500,1,FREE,33.28
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,13,2,1,818,0.87,1007.59,7,227.8,350,1112,PRE,1500,1,FREE,32.98
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,13,2,1,818,0.87,1007.59,8,261.97,400,1112,PRE,1500,1,FREE,34.17
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,13,2,1,818,0.87,1007.59,9,295.17,450,1112,PRE,1500,1,FREE,33.2
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,13,2,1,818,0.87,1007.59,10,328.94,500,1112,PRE,1500,1,FREE,33.77
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,13,2,1,818,0.87,1007.59,11,362.12,550,1112,PRE,1500,1,FREE,33.18
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,13,2,1,818,0.87,1007.59,12,396.38,600,1112,PRE,1500,1,FREE,34.26
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,13,2,1,818,0.87,1007.59,13,429.86,650,1112,PRE,1500,1,FREE,33.48
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,13,2,1,818,0.87,1007.59,14,464.13,700,1112,PRE,1500,1,FREE,34.27
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,13,2,1,818,0.87,1007.59,15,497.7,750,1112,PRE,1500,1,FREE,33.57
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,13,2,1,818,0.87,1007.59,16,531.8,800,1112,PRE,1500,1,FREE,34.1
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,13,2,1,818,0.87,1007.59,17,565.06,850,1112,PRE,1500,1,FREE,33.26
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,13,2,1,818,0.87,1007.59,18,599.29,900,1112,PRE,1500,1,FREE,34.23
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,13,2,1,818,0.87,1007.59,19,633.26,950,1112,PRE,1500,1,FREE,33.97
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,13,2,1,818,0.87,1007.59,20,667.67,1000,1112,PRE,1500,1,FREE,34.41
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,13,2,1,818,0.87,1007.59,21,701.39,1050,1112,PRE,1500,1,FREE,33.72
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,13,2,1,818,0.87,1007.59,22,736.06,1100,1112,PRE,1500,1,FREE,34.67
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,13,2,1,818,0.87,1007.59,23,769.94,1150,1112,PRE,1500,1,FREE,33.88
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,13,2,1,818,0.87,1007.59,24,804.39,1200,1112,PRE,1500,1,FREE,34.45
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,13,2,1,818,0.87,1007.59,25,838.42,1250,1112,PRE,1500,1,FREE,34.03
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,13,2,1,818,0.87,1007.59,26,872.38,1300,1112,PRE,1500,1,FREE,33.96
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,13,2,1,818,0.87,1007.59,27,906.01,1350,1112,PRE,1500,1,FREE,33.63
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,13,2,1,818,0.87,1007.59,28,940.71,1400,1112,PRE,1500,1,FREE,34.7
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,13,2,1,818,0.87,1007.59,29,974.4,1450,1112,PRE,1500,1,FREE,33.69
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,13,2,1,818,0.87,1007.59,30,1007.59,1500,1112,PRE,1500,1,FREE,33.19
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,32,4,9,797,0.84,532.79,1,31.18,50,,PRE,800,1,FREE,31.18
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,32,4,9,797,0.84,532.79,2,64.06,100,,PRE,800,1,FREE,32.88
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,32,4,9,797,0.84,532.79,3,97.35,150,,PRE,800,1,FREE,33.29
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,32,4,9,797,0.84,532.79,4,130.21,200,,PRE,800,1,FREE,32.86
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,32,4,9,797,0.84,532.79,5,163.94,250,,PRE,800,1,FREE,33.73
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,32,4,9,797,0.84,532.79,6,196.93,300,,PRE,800,1,FREE,32.99
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,32,4,9,797,0.84,532.79,7,230.69,350,,PRE,800,1,FREE,33.76
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,32,4,9,797,0.84,532.79,8,263.88,400,,PRE,800,1,FREE,33.19
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,32,4,9,797,0.84,532.79,9,297.65,450,,PRE,800,1,FREE,33.77
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,32,4,9,797,0.84,532.79,10,330.91,500,,PRE,800,1,FREE,33.26
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,32,4,9,797,0.84,532.79,11,364.86,550,,PRE,800,1,FREE,33.95
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,32,4,9,797,0.84,532.79,12,398.44,600,,PRE,800,1,FREE,33.58
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,32,4,9,797,0.84,532.79,13,432.7,650,,PRE,800,1,FREE,34.26
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,32,4,9,797,0.84,532.79,14,466.03,700,,PRE,800,1,FREE,33.33
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,32,4,9,797,0.84,532.79,15,499.85,750,,PRE,800,1,FREE,33.82
247673,BARDACH,VIRGINIA,01/01/1992,F,ARGENTINA,ARG,32,4,9,797,0.84,532.79,16,532.79,800,,PRE,800,1,FREE,32.94
247676,SEBASTIAN,JULIA,01/01/1993,F,ARGENTINA,ARG,11,4,6,762,0.74,70.56,1,33.04,50,1030,PRE,100,1,BREAST,33.04
247676,SEBASTIAN,JULIA,01/01/1993,F,ARGENTINA,ARG,11,4,6,762,0.74,70.56,2,70.56,100,1030,PRE,100,1,BREAST,37.52
247676,SEBASTIAN,JULIA,01/01/1993,F,ARGENTINA,ARG,24,4,9,769,0.75,152.88,1,35.03,50,1037,PRE,200,1,BREAST,35.03
247676,SEBASTIAN,JULIA,01/01/1993,F,ARGENTINA,ARG,24,4,9,769,0.75,152.88,2,73.24,100,1037,PRE,200,1,BREAST,38.21
247676,SEBASTIAN,JULIA,01/01/1993,F,ARGENTINA,ARG,24,4,9,769,0.75,152.88,3,113.03,150,1037,PRE,200,1,BREAST,39.79
247676,SEBASTIAN,JULIA,01/01/1993,F,ARGENTINA,ARG,24,4,9,769,0.75,152.88,4,152.88,200,1037,PRE,200,1,BREAST,39.85
